id,lon,lat,name,
1,116.725634,24.729467,福建省永定区医院,
2,116.740383,24.723539,永定区中医院新院,
3,116.724654,24.729421,永定区妇幼保健院,
4,116.719017,24.716695,永定区澄铭医院,
