id,lon,lat,name,status
1,119.775556,25.494175,平潭综合实验区综合执法与应急管理局,
2,119.780803,25.510711,平潭综合实验区突发公共卫生应急中心,
3,119.797782,25.505936,应急避险场所(龙凤路),
